split,target_id,sequence_length,description,description_truncated_80chars,category,matched_rule,confidence
train,8Z8N_D,18,Cryo-EM structure of Thogoto virus polymerase in transcription pre-initiation conformation 3,Cryo-EM structure of Thogoto virus polymerase in transcription pre-initiation co...,other,,low
train,8KAI_I,65,Crystal structure of SpyCas9-crRNA-tracrRNA complex bound to 17nt target DNA,Crystal structure of SpyCas9-crRNA-tracrRNA complex bound to 17nt target DNA,other,,low
train,8JTJ_B,139,Cryo-EM structure of GeoCas9-sgRNA-dsDNA ternary complex,Cryo-EM structure of GeoCas9-sgRNA-dsDNA ternary complex,other,,low
train,8WUS_B,115,SpCas9-MMLV RT-pegRNA-target DNA complex (termination),SpCas9-MMLV RT-pegRNA-target DNA complex (termination),other,,low
train,8YGJ_B,137,SpCas9-MMLV RT-pegRNA-target DNA complex (elongation 28-nt),SpCas9-MMLV RT-pegRNA-target DNA complex (elongation 28-nt),other,,low
train,8JTR_B,139,Cryo-EM structure of GeoCas9-sgRNA binary complex,Cryo-EM structure of GeoCas9-sgRNA binary complex,other,,low
train,8OPT_D,54,Human terminal uridylyltransferase 7 (TUT7/ZCCHC6) bound with pre-let7g miRNA and Lin28A - complex 2,Human terminal uridylyltransferase 7 (TUT7/ZCCHC6) bound with pre-let7g miRNA an...,other,,low
train,8OPP_D,25,Structure of human terminal uridylyltransferase 7 (hTUT7/ZCCHC6) bound with pre-let7g miRNA and UTPalphaS,Structure of human terminal uridylyltransferase 7 (hTUT7/ZCCHC6) bound with pre-...,other,,low
train,8OPS_C,71,Human terminal uridylyltransferase 7 (TUT7/ZCCHC6) bound with pre-let7g miRNA and Lin28A - complex 1,Human terminal uridylyltransferase 7 (TUT7/ZCCHC6) bound with pre-let7g miRNA an...,other,,low
train,8I0P_F,107,The cryo-EM structure of human pre-Bact complex,The cryo-EM structure of human pre-Bact complex,other,,low
train,9CF1_W,61,Parasitella parasitica Fanzor (PpFz) State 2,Parasitella parasitica Fanzor (PpFz) State 2,other,,low
train,9CF3_W,61,Parasitella parasitica Fanzor (PpFz) State 4,Parasitella parasitica Fanzor (PpFz) State 4,other,,low
train,8YE6_C,92,Cryo-EM structure of Cas9-sgRNA-A32 complex,Cryo-EM structure of Cas9-sgRNA-A32 complex,other,,low
train,8KI7_E,10,Structure of Tomato spotted wilt virus L protein contained endoH domain binding to 3'5'vRNA,Structure of Tomato spotted wilt virus L protein contained endoH domain binding ...,other,,low
train,8UBE_I,140,Diversity-generating retroelement (DGR) ribonucleoprotein reverse transcriptase - Resting State 1a,Diversity-generating retroelement (DGR) ribonucleoprotein reverse transcriptase ...,other,,low
train,9G7C_A,224,Cryo-EM structure of raiA ncRNA from Clostridium reveals a new RNA 3D fold,Cryo-EM structure of raiA ncRNA from Clostridium reveals a new RNA 3D fold,other,,low
train,9FO8_A,29,5_SL5b_GC of the 5_SL5 RNA,5_SL5b_GC of the 5_SL5 RNA,other,,low
train,8XCA_B,60,"Cryo-EM structure of Cas12j19,crRNA and target DNA complex","Cryo-EM structure of Cas12j19,crRNA and target DNA complex",other,,low
train,8XCC_B,60,"Cryo-EM structure of Cas12j19 (E100K), crRNA and target DNA complex","Cryo-EM structure of Cas12j19 (E100K), crRNA and target DNA complex",other,,low
val,R1128,238,"6WJ
Single-stranded Paranemic Crossover RNA Triangle (PXT)","6WJ
Single-stranded Paranemic Crossover RNA Triangle (PXT)",other,,low
val,R1138,720,"6HBC-Young
Additional Information:        This is a co-transcriptional product. The structure observed in the cryo-EM grids immediately after the transcription and that around 8 hours later have alternative conformations. You can submit alternative conformations as separate models (we still stick to 5 models per target maximum).
Young conformer of a 6-helix bundle of RNA with clasp","6HBC-Young
Additional Information:        This is a co-transcriptional product. ...",other,,low
test,R1128,238,"6WJ
Single-stranded Paranemic Crossover RNA Triangle (PXT)","6WJ
Single-stranded Paranemic Crossover RNA Triangle (PXT)",other,,low
test,R1138,720,"6HBC-Young
Additional Information:        This is a co-transcriptional product. The structure observed in the cryo-EM grids immediately after the transcription and that around 8 hours later have alternative conformations. You can submit alternative conformations as separate models (we still stick to 5 models per target maximum).
Young conformer of a 6-helix bundle of RNA with clasp","6HBC-Young
Additional Information:        This is a co-transcriptional product. ...",other,,low
